xmin,ymin,xmax,ymax
2499938,1113357,2499955,1113371
2499900,1113360,2499906,1113369
2499900,1113402,2499908,1113412
2499920,1113612,2499930,1113623
2499909,1113737,2499922,1113755
2499982,1113805,2499990,1113816
2499973,1113935,2499984,1113948
2499970,1114117,2499982,1114129
2499991,1114212,2500000,1114224
2499945,1114324,2499955,1114334
2499914,1114360,2499924,1114371
2499962,1114364,2499972,1114375
2499953,1114524,2499964,1114535
2499980,1114500,2499992,1114512
2499909,1114580,2499933,1114600
2499908,1115003,2499916,1115011
2499968,1115013,2499976,1115021
2499920,1115532,2499929,1115540
2499930,1115768,2499942,1115781
2499935,1116057,2499953,1116071
2499932,1116227,2499950,1116250
2499900,1116492,2499918,1116500
2500015,1112848,2500030,1112861
2500075,1113282,2500100,1113300
2500054,1113351,2500064,1113361
2500078,1113300,2500098,1113307
2500078,1113325,2500087,1113336
2500034,1113507,2500045,1113520
2500058,1113600,2500069,1113614
2500076,1113658,2500087,1113667
2500034,1113672,2500045,1113682
2500090,1113774,2500100,1113792
2500043,1113886,2500052,1113900
2500056,1114032,2500067,1114046
2500024,1114077,2500034,1114086
2500033,1114195,2500041,1114200
2500038,1114233,2500050,1114245
2500034,1114200,2500043,1114206
2500023,1114308,2500035,1114320
2500049,1114479,2500062,1114491
2500002,1114469,2500014,1114479
2500089,1114522,2500100,1114536
2500000,1114557,2500007,1114568
2500012,1114872,2500024,1114884
2500000,1114862,2500006,1114872
2500074,1117535,2500086,1117545
2500046,1119628,2500061,1119642
2500189,1113600,2500199,1113607
2500151,1113626,2500161,1113633
2500125,1113623,2500131,1113630
2500121,1113758,2500132,1113769
2500164,1113700,2500173,1113706
2500116,1113984,2500128,1113997
2500167,1114260,2500179,1114269
2500100,1114359,2500107,1114370
2500145,1114440,2500153,1114447
2500152,1114534,2500164,1114547
2500174,1114532,2500183,1114542
2500100,1114527,2500108,1114547
2500177,1114594,2500189,1114600
2500117,1114672,2500129,1114685
2500187,1114679,2500196,1114690
2500129,1114655,2500137,1114663
2500143,1114704,2500154,1114716
2500166,1114775,2500174,1114782
2500178,1114874,2500189,1114884
2500166,1114894,2500175,1114900
2500168,1114900,2500177,1114906
2500103,1117247,2500116,1117262
2500155,1118574,2500167,1118586
2500124,1119965,2500132,1119978
2500160,1119902,2500172,1119926
2500203,1113207,2500212,1113218
2500221,1113426,2500238,1113446
2500265,1113875,2500277,1113888
2500270,1113801,2500277,1113811
2500233,1113882,2500240,1113895
2500292,1114058,2500300,1114070
2500234,1114004,2500243,1114017
2500201,1114028,2500208,1114037
2500201,1114102,2500211,1114112
2500275,1114127,2500283,1114134
2500241,1114362,2500253,1114375
2500273,1114382,2500283,1114393
2500254,1114303,2500263,1114311
2500208,1114470,2500220,1114484
2500202,1114975,2500217,1114988
2500253,1115906,2500265,1115918
2500282,1116124,2500297,1116136
2500290,1116231,2500300,1116246
2500243,1116286,2500256,1116300
2500268,1118113,2500280,1118126
2500370,1113077,2500381,1113087
2500331,1113208,2500345,1113222
2500344,1113200,2500358,1113214
2500328,1113780,2500341,1113793
2500319,1113834,2500327,1113845
2500335,1114034,2500346,1114043
2500353,1114080,2500364,1114091
2500315,1114095,2500326,1114100
2500383,1114142,2500395,1114156
2500313,1114100,2500325,1114107
2500306,1114111,2500317,1114125
2500329,1114138,2500341,1114149
2500335,1114172,2500346,1114184
2500394,1114100,2500400,1114111
2500323,1114247,2500338,1114257
2500310,1114442,2500321,1114456
2500332,1114450,2500342,1114460
2500300,1114413,2500309,1114426
2500375,1114504,2500387,1114516
2500344,1114648,2500352,1114658
2500331,1114610,2500341,1114620
2500358,1115422,2500375,1115436
2500381,1115749,2500400,1115770
2500300,1116231,2500310,1116245
2500342,1116600,2500354,1116609
2500348,1118068,2500366,1118083
2500318,1118280,2500336,1118288
2500314,1118700,2500332,1118707
2500348,1119670,2500359,1119687
2500300,1119670,2500325,1119694
2500455,1112060,2500466,1112072
2500437,1113377,2500448,1113386
2500425,1113347,2500436,1113360
2500493,1113331,2500500,1113346
2500400,1113610,2500409,1113628
2500437,1113800,2500444,1113807
2500436,1114150,2500448,1114165
2500461,1114130,2500472,1114144
2500415,1114122,2500426,1114134
2500411,1116524,2500436,1116548
2500547,1113200,2500561,1113210
2500503,1113334,2500510,1113348
2500587,1113478,2500598,1113488
2500567,1113488,2500574,1113499
2500545,1113555,2500554,1113565
2500558,1113517,2500566,1113527
2500593,1115766,2500600,1115781
2500506,1116650,2500519,1116663
2500534,1129405,2500545,1129418
2500693,1113472,2500700,1113490
2500616,1113515,2500627,1113524
2500600,1113607,2500621,1113627
2500630,1115682,2500647,1115700
2500632,1115700,2500648,1115712
2500638,1115742,2500657,1115767
2500600,1115766,2500622,1115779
2500686,1116343,2500700,1116362
2500667,1118908,2500682,1118921
2500616,1119371,2500632,1119387
2500663,1119573,2500676,1119587
2500741,1113284,2500756,1113299
2500700,1113470,2500718,1113494
2500716,1113492,2500733,1113500
2500786,1117400,2500800,1117417
2500700,1117601,2500712,1117625
2500721,1117772,2500733,1117785
2500793,1118574,2500800,1118596
2500883,1112333,2500899,1112351
2500889,1114276,2500897,1114283
2500877,1114368,2500888,1114379
